 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Subgrupo proced. e Ano/mês atendimento
Período:Jan/2018-Set/2021
"Subgrupo proced.";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"0402 Cirurgia de glândulas endócrinas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6;67;181;321;983;834;1010;1021;995;1008;1141;1206;972;1215;980;800;1036;1045;1039;1144;1178;1030;1124;983;1080;1120;989;761;940;866;733;180;221;244;310;430;554;637;684;452;576;593;418;301;432;515;572;545;356;35829
"0403 Cirurgia do sistema nervoso central e periférico";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;17;62;236;1078;2122;3861;7253;6461;7548;7549;7579;7340;7878;8262;7436;7983;7504;7020;7262;7292;7296;7781;8136;7299;8045;8073;7883;8504;7979;6931;7666;7206;6759;4224;4545;5024;5435;5875;6160;7042;6926;5784;5727;5695;5582;5023;5991;5753;5542;4957;2464;309052
"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;24;99;797;1943;4073;10139;9216;10680;11283;11218;11158;11662;12486;11214;12513;11378;9970;10579;10870;10346;11430;12256;11246;12792;12299;11946;12808;11555;9894;11214;10336;8800;3280;3692;4364;4862;5549;7178;8632;9124;7353;7256;6897;5996;5390;6627;6794;6759;6655;4057;418692
"0405 Cirurgia do aparelho da visão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;31;358;1066;2219;8123;7853;9833;8961;9523;9484;9728;10971;10150;11937;10682;9062;8666;9225;8555;9664;10917;10519;12152;11760;9870;10719;10283;7926;8944;8129;6698;1840;2680;4231;4948;5530;6858;8491;8262;6539;6182;6319;6169;5187;6462;6809;6723;7509;5608;370357
"0406 Cirurgia do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;28;256;610;2532;4878;10449;24391;21448;25570;25301;24637;24405;25755;27323;24403;28909;24913;22804;24878;24026;23737;24790;26869;24114;27069;26662;26099;27707;24375;21970;24579;22396;21070;13806;15332;16472;17649;18882;20483;21732;21828;18719;18708;17723;17386;15665;18479;18418;18711;16861;9306;1005116
"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;21;112;492;3848;9345;21710;62650;55414;66946;68249;67379;64338;68621;73425;67858;74201;66913;59009;62587;62412;63398;68586;72921;65919;72956;72238;71017;75209;69736;60650;65589;61092;51812;23836;26549;30132;33337;39729;48242;56361;56916;46027;44080;41814;34913;30813;38106;39145;41416;42392;28512;2528978
"0408 Cirurgia do sistema osteomuscular";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;5;27;304;1092;5907;13516;31197;64723;57708;64995;64849;65324;63090;67810;69918;65106;70092;64584;61834;66341;61759;63304;64899;69027;63513;70745;69936;68268;72643;66302;63964;66800;61548;60359;46136;49566;53089;57542;59972;62957;65971;64187;60872;60169;55899;56374;52795;59747;56938;55301;47291;26536;2812836
"0409 Cirurgia do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;2;103;223;2080;5041;11680;39098;35022;43479;44139;43778;42662;46122;49456;44803;49382;45543;38305;39123;41442;39690;43759;47886;43231;49080;48608;48705;51379;46727;38985;42541;39995;33595;11477;13764;16599;19471;24853;31378;38255;39238;29563;26575;27643;22416;18838;25561;27157;29430;30572;20964;1649422
"0410 Cirurgia de mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;16;163;393;804;2682;2397;2917;2984;3014;2840;2998;3309;2916;3250;2805;2271;2784;2998;2745;2929;3380;2889;3127;3188;3137;3538;2871;2356;2776;2480;2228;786;825;1100;1140;1501;1837;1978;2112;1619;1619;1662;1364;1045;1510;1567;1765;1947;1150;105721
"0411 Cirurgia obstétrica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;-;1;-;-;5;51;346;4796;12341;33636;91729;83340;95254;95234;96464;89195;91560;92537;88389;91097;87213;85291;92395;86991;94716;93370;95242;87894;91626;91129;91104;91396;86288;88081;92375;85963;93774;91283;92256;88923;91825;88403;90555;88353;85613;86933;88221;84195;94988;91313;93206;86585;80876;70787;45497;4040642
"0412 Cirurgia torácica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;45;132;675;1378;3089;4792;4166;4932;4857;5154;5021;5179;5200;4805;5113;4743;4752;4864;4449;4961;5123;5378;5202;5165;5245;5179;5240;4992;4714;4973;4655;4978;4264;4086;4200;4581;4709;4892;4859;4644;4765;4756;4358;5123;5195;5371;5037;4418;3591;1523;219534
"0413 Cirurgia reparadora";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;52;493;986;2170;4876;4294;4725;4788;4995;4557;5030;4962;5001;5070;4797;4478;5025;4764;4886;5074;5503;5009;5209;5347;5298;5436;5124;4776;5218;4693;4065;2793;3074;3300;3686;4123;4353;4363;4069;3973;3917;3645;3549;3496;3828;3621;3748;3123;1692;201063
"0414 Bucomaxilofacial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;4;83;179;397;989;928;1127;1177;1157;1147;1209;1333;1198;1338;1084;1009;1035;1169;1128;1298;1374;1251;1264;1518;1346;1438;1383;1055;1254;1141;902;248;275;460;457;559;690;805;846;697;584;640;545;440;643;704;771;690;529;43501
"0415 Outras cirurgias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;66;380;1149;5529;11429;23483;46697;41504;47928;48372;48736;46971;49114;52459;47235;51410;47123;43756;50517;47871;48578;50932;53261;49684;54930;55502;55014;57393;51832;47385;54106;49144;47917;34979;37959;40493;45382;48151;50597;54010;53270;48455;49902;47197;47339;45474;51684;49357;47402;40968;20380;2200411
"0416 Cirurgia em oncologia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;162;250;1082;2383;5055;12236;10874;12877;13095;12874;12587;13012;14174;12402;13941;12207;10617;12889;12752;12014;13253;14278;12649;14581;13981;14265;14747;13541;11434;13219;11787;12790;9456;10048;10192;11045;11671;12359;12171;12502;10207;11139;11297;12066;10486;12475;11867;11255;10731;5308;554298
"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;14;21;66;63;59;59;66;72;60;76;75;70;72;63;52;59;59;53;76;63;60;73;75;75;64;55;72;61;72;38;37;46;52;64;54;54;68;59;65;46;61;54;59;53;58;60;28;2764
"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;10;137;341;1013;1704;1722;1867;1886;2088;1829;1919;2025;1884;1969;1873;1764;1837;1725;1876;1941;1998;1981;2122;2031;2153;2055;2134;2017;2039;1944;1702;1046;1113;1162;1088;1336;1333;1487;1598;1427;1432;1403;1326;1444;1530;1571;1601;1437;791;77713
"0504 Processamento de tecidos para transplante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;28;65;122;137;135;161;166;127;116;176;160;160;130;112;117;125;139;145;153;104;144;133;136;146;184;120;157;159;125;27;37;35;33;42;46;58;75;68;96;75;65;83;124;154;132;109;29;5173
